sentence,label
"Proszę państwa, krótka piłka, pytanie do pana i pytanie do naszych słuchaczy, czy Polska powinna wycofać się z Zielonego Ładu, tak czy nie?",NF
Dlaczego spółka CPK nie złożyła do tej pory dwóch istotnych wniosków o dofinansowanie z programu CEF na odcinek kolei Łódź Warszawa oraz na węzeł kolejowy.,FR
Sporo widzę zastrzeżeń do działań nowego rządu.,NF
"Wszystko wskazuje na to, że eurokraci jadą walcem i swoimi regulacjami stawiają w uprzywilejowanej pozycji wielkie międzynarodowe agroholdingi.",FNR
"Ale czemu na przykład nie powiemy o dobrach jeszcze bardziej podstawowych, jak na przykład żywność, która jest towarem?",NF
Jakie stanowisko prezentuje państwa komitet?,NF
"A dziś się mówi o tym, że zboże zostaje w Polsce, że z Litwy z powrotem wraca.",FNR
Musielibyśmy znaleźć jakiś dodatkowy miliard złotych w budżecie Warszawy.,FNR
"To trzeba zatrzymać używając siły tak jak robi to Australia – straż graniczna ma tam prawo używać siły, żeby zawrócić łodzie.",FR
"DONALD TUSK, KOALICJA OBYWATELSKA: Tak się zastanawiam, Mateusz, co się stało.",NF
To jest daleko posunięta ta szczerość.,NF
Pakt zakłada uznaniowe i czasowe zwolnienie państw z opłaty i przyjęcia migrantów.,FR
"Ja akurat mieszkam na Bemowie i przez wiele lat, ze świętej pamięci panią radną Olgą Johan, radną Prawa i Sprawiedliwości, pracowaliśmy nad tym, że w naszej okolicy było za dużo takich sklepów i w pewnym momencie udało się ograniczyć liczbę tych sklepów, niekoniecznie wprowadzając prohibicję.",FNR
"Pamiętacie państwo sytuację, kiedyś była taka, chyba 2 lata temu.",NF
"Sławomir Mensen, lider Konfederacji, jest moim gościem.",NF
"Mówię nawet również o opozycji, o dzisiejszą koalicję, zawsze był to prawnik.",NF
Pakiet unijny zmuszający Polskę do przyjmowania nielegalnych imigrantów należy odrzucić.,FR
"Wiele małżeństw, które łączy kredyt hipoteczny na mieszkanie.",NF
"Mamy też tutaj przystawki tych partii, które nie są prawdziwą alternatywą.",FR
"Nasi poprzednicy krytykowali rząd PO-PSL, rządzący do 2015 r., za długie kolejki do lekarzy.",FNR
"Tak nawet jeśli prywatni właściciele wymieniać się będą wolniej, ale tych dni, w których powietrze jest zagrażające zdrowiu, jest coraz mniej we Wrocławiu właśnie przez to, że mieliśmy też szczęśliwą zimę pod tym kątem, bo było dużo wiatrów, dużo opadów.",FR
Równie dobrze można dyskutować o jakości elektrycznych aut Izera.,NF
"Jeżeli chcecie polityki wolnej od kłótni, od tego przezywania siebie nawzajem, głosujcie na lewicę, Jeżeli chcecie Polski dla wszystkich, żebyśmy wszyscy czuli się w niej dobrze, głosujcie na lewicę.",NF
"Jeżeli chodzi o prywatyzację, to oczywiście Lewica jest przeciw wyprzedaży majątku polskiego.",FNR
Jednocześnie np. Kancelarii Prezydenta w żaden sposób tych środków nie zwiększył .,FR
"To płacz dzieci i matek, to tragedie i łzy.",NF
Ono wjeżdża normalnie do Europy.,FNR
Kapitalizm prowadzi do akumulacji kapitału i powinniśmy walczyć z monopolami.,FNR
W tej chwili w Polsce hodowla trzody chlewnej jest na poziomie spożycia mniej niż 50 proc.,FR
"A przypomnijmy, że kilka miesięcy wcześniej premier Tusk bardzo aktywnie krytykował premiera Morawieckiego, jakoby te wydatki na Kancelarię Premiera były zbyt duże.",FNR
A w tej chwili rozstrzygnęliśmy przecież przetarg na budowę kolejnego takiego zespołu dla 1200 dzieciaków na ulicy Zwycięskiej na południu Wrocławia.,FNR
"No to, o jakiej my historii wspólnej mówimy?",NF
"Troska o naturę i zdrowie mieszkańców myślę, że łączy nas wszystkich.",NF
"Moja mama, gdzieś jest moja, moja siostra, moja córka.",NF
"Ale to nie tylko takie wielkie, spektakularne projekty, to chociażby codzienna współpraca z lokalnymi księgarzami, polityka czynszowa, która pozwala właśnie w miejskich lokalach o obniżonym czynszu prowadzić lokalne księgarnie.",NF
Dziś Polska nie ma ustawy o obronie cywilnej.,FR
"Doszło do olbrzymiej tragedii na terenie, ale do tego nie chcę wracać.",FNR
"Oni generalnie nie głosowali za tą uchwałą, czyli nie popierali odejścia od węgla.",FNR
"Na temat samego lotniska analizy robił też rząd Sojuszu Lewicy Demokratycznej, każdy znajdzie tam coś dla siebie.",NF
"My bronimy kapitalizmu przed kapitalistami takimi jak wy, którzy chcą, żeby dobro, jakim jest mieszkanie, było tylko dla bogatych.",FNR
"Kolejna bardzo ważna potrzeba, potrzeba, która wychodzi także naprzeciw równemu traktowaniu wszystkich.",NF
"Kobiety, ja wiem, że wczoraj było nasze święto, która z was jeszcze tego nie zrobiła, to są moje właśnie dla was życzenia i prośba: dbajcie o siebie i o zdrowie, bo my nie zrealizujemy tego programu bez aktywnych kobiet.",NF
"Rok temu w rządzie PiS było parę mniej, było poniżej 110.",FNR
"Jest tak, że przez kilka lat będziemy się przygotowywali do jej wdrażania, będą wchodziły kolejne etapy, które będą ograniczały wjazd do określonych stref w mieście, tych najbardziej trujących samochodów z silnikami, przede wszystkim diesla.",FNR
"Ja się nie chcę odnosić do programu innych kandydatów, będziemy o tym dyskutować w debatach.",NF
"Właśnie to, co wspomniałem, strefa czystego transportu, zwężanie ulic, strefa Tempo 30, nowe płatne parkingi, tak jak u mnie na Saskiej Kępie, to był naprawdę temat bardzo palący, pod którym się pod petycjami w tych sprawach podpisywały tysiące obywateli Warszawy.",FNR
"A niestety wiemy, że w Polsce z tym zmaga się setki tysięcy, jeśli nie miliony ludzi.",FR
"Ale ja podkreślam tę niesamowitą, dla mnie liczbę, ponad 7,500 miejsc we wrocławskich przedszkolach.",FR
"Też potrzebujemy też potrzebujemy po prostu podatków, które jednak właśnie będą zachęcać tak do inwestowania na giełdzie tak jak powiedziałeś czy na przykład nie wiem jakaś kwota wolna od Belki czy jakiś innych zachęt.",NF
"Takie przykłady możecie widzieć chociażby tutaj, koło tego obiektu, jakim są Międzynarodowe Targi Gdańskie.",FNR
"Z jednej strony stworzenie furtki dla sprzedaży lasów, co forsowała koalicji PO-PSL.",FR
"Ycie w Polsce musi być lepsze, bardziej znośne.",NF
"To nasi koalicjanci z Miasta i Porozumienia dla Pragi o stowarzyszenia, które są na koalicji z Lewicą w tych wyborach samorządowych, zainicjowali tą dyskusję i my ich tutaj absolutnie popieramy.",FNR
"I niestety radni koalicji obywatelskiej nie chcieli podjąć tej kwestii i nie zostało rozpisane referendum i bez tak naprawdę wsłuchania się w głos mieszkańców, te decyzje zapadły pod koniec zeszłego roku.",FR
"Na skutki Laboratoriów Przyszłości trzeba chwilkę poczekać, chociaż już są.",FNR
"Rozumiem, że teraz już ich nie ma, prawda?",NF
"Więc jest to projekt, od którego nie uciekniemy.",NF
W sierpniu i należy do najniższych w Europie.,FR
Nasze miasto pod względem powierzchni ogólnej zieleni w przeliczeniu na jednego mieszkańca wyraźnie wyprzedza pozostałe miasta wojewódzkie.,FR
"Uważam, że staramy się robić wiele, żeby zachęcać ludzi do wymiany pieców.",FNR
Według doktryny Platformy Obywatelskiej Polska miała być podzielona Wisłą i po prawej stronie Wisły Polska miała nie być broniona.,FR
"Oczywiście i był dialog, oczywiście był dialog ze spółką, ale nie boi się pan, że nie złożenie tych dwóch wniosków to zaniechanie spowoduje, że nie będzie tych pieniędzy i stracimy kasę?",FNR
"Ale dla lewicy bezpieczna Polska to również Polska, w której jeśli chcesz przejść szkolenie wojskowe, to je przechodzisz, ale nikt nikogo na siłę nie wrzuca w kamasze.",NF
I żaden żołnierz i funkcjonariusz nie będzie musiał już ryzykować życia na partyjnych festiwalach.,NF
"Z nami reporter Radia Z, Daniel Wrzos.",NF
"Musimy sobie to omówić z Grzegorzem Braunem, ponieważ zupełnie na pierwszy rzut oka widać, że mamy w tym momencie różne koncepcje, których spory rozwiązuje za pomocą gaśnicy.",NF
"Trwa śledztwo, wiele osób zostało aresztowanych łącznie z rektorem tejże uczelni.",FR
"KRZYSZTOF BOSAK, KONFEDERACJA: Obecny poziom świadczeń społecznych, który jest bardzo rozbudowany, wspólnie głosowały za nim wszystkie partie, jest sfinansowany z długu.",FNR
"Wypowiadali się podczas debaty przy punkcie informacja o działalności Rzecznika Praw Obywatelskich, skierowaliśmy takie pytanie.",FR
"A czy to czy to nie jest tak, że to referendum to jest takie pójście trochę na łatwiznę władz?",NF
"Powinien być odwieszony, klub zdecydował jednogłośnie, że powinien być odwieszony.",FNR
Właśnie ogłosiliśmy przetarg na jej projektowanie.,FNR
"Powiedziałem, że będziemy budować i budujemy.",FNR
"Pan Joński i Szczerba nie znają przepisów, nie znają ustawy o komisji śledczej, nie znają Kodeksu Postępowania Karnego i mnóstwo błędów, potyczek różnych dzieje się tylko dlatego, że oni prawa nie znają.",FNR
"Nie, bo ja teraz mi się trochę śmiało, ponieważ o tym, jak to nikomu z nieba nie spadają mieszkania, to sąsiadka pana Zaorskiego z bloku opowiedziała, jak to jest i jak to ciężko pracą ludzie dorabiają się swoich mieszkań, z których potem jej rodzice rozumiem za pracowali.",FNR
98 procent mieszkań w Polsce jest budowanych przez prywatne firmy czy przez ludzi.,FR
"To decyzja podjęta już w tej kadencji przez Radę Miasta Gdańska, przez moich współpracowników, wreszcie przeze mnie.",FNR
"Dlatego, bo się boją, bo jest taka przesadzona ochrona lokatorów, że jak ktoś nie płaci, co?",FNR
Na przykład składka emerytalna będzie im się doliczała do świadczenia.,NF
"Natomiast, rzeczywiście, osoby, które mają problem z uzależnieniami, miasto powinno prowadzić tutaj aktywną politykę też kreowania takich właściwych postaw.",NF
"Brakuje nam w tym momencie prawie 30 tys. nauczycieli, w samej Warszawie jest to ponad 4 tys. Zgodnie z orzeczeniem Europejskiego Trybunału Praw Człowieka CaseJalloh v. Germany, przymusowe karmienie osadzonego rurką przez nos jest torturą.",FR
"Tamowanie niedoborów na rynku pracy migracją przyniesie nam problemy – wszyscy zdają sobie z tego sprawę, ale nikt nie ma odwagi powiedzieć, że trzeba wprowadzić rozporządzenie limitujące napływ migrantów do Polski.",FNR
Rafał Trzaskowski w 2018 roku obiecywał budowę 1 500 mieszkań rocznie.,FR
"Wybudowaliśmy szkołę na Asfaltowej dla 1200 dzieci, kończymy szkołę na Cynamonowej.",FNR
"Bo oprócz samej prohibicji, możemy też dyskutować na temat tak zwanych limitów zezwoleń na sprzedaż alkoholu.",NF
Tak samo tramwaje i tak samo nowe miejsca w szkołach i przedszkolach są potrzebne.,NF
"Bezpieczna Polska to Polska, w której rząd wie, że wróg jest na Wschodzie, a nie na Zachodzie.",NF
"Ale proszę pamiętać, że gdybyśmy tak do tego podchodzili, to po co w ogóle weryfikacja takich wniosków?",NF
"Gdyby odeszli, bylibyście bez wicemarszałka i tak dalej, i tak dalej.",FNR
Czy na przykład pójdziemy do wyborów razem?,NF
"Weźmy tylko kwestię, chociażby tego dwutlenku węgla z przemysłu i z wulkanów.",NF
Teraz przez 7 lat i niespełna 3 kwartały jest to kwota ok. 87 mld zł.,FR
"I powiem szczerze, że trochę z zażenowaniem patrzę na to, jak zachowuje się dzisiaj premier Mateusz Morawiecki.",NF
Bezpieczna Polska to także bezpieczeństwo ruchu drogowego.,NF
"JOANNA SCHEURING-WIELGUS, NOWA LEWICA: Szanowni Państwo, prawda jest taka, że Polska jest krajem, który najciężej pracuje w Europie.",FNR
"Koncepcja przeciwna reprezentowana przez rządzących zakłada obronę całego terytorium Polski, zbudowanie 100 tysięcznej armii, uzbrojonej w najnowocześniejszy sprzęt w tym m.in.",FR
"No tak, tylko brak ekologicznych środków jest powodem chorób płuc, nowotworów, chorób, nie jest ideologia.",FR
Nikt nie zmusi nas do przyjmowania uchodźców wbrew naszej woli.,FR
"Wyrównujmy poziom życia, na przykład edukacji.",NF
"To nie może być tak, że polski podatnik finansuje Ukraińcom 500 plus, 800 plus, bezpieczny kredyt 2%, 300+ dla dzieci, za dużo tego.",FNR
"Pierwsze mają być za dwa lata, związane z decyzją czy będzie możliwość realizacji pod względem geologicznym i tak dalej.",NF
"Tam mamy, można powiedzieć, każdy, kto chciał, może serwować alkohol.",FR
"Więc dlatego zaczęliśmy prace przygotowawcze do projektu i potem zobaczymy, jakie będą przepływy pasażerów.",FNR
"Nagle chce robić jakąś aplikację, swoją wymyślił, za pomocą której można zgłaszać problemy w Warszawie, a my taką aplikację już dawno mamy.",FR
"Gdy tylko weszliśmy do ministerstwa, musieliśmy błyskawicznie działać, żeby można było od 1 stycznia 2024 r. organizować pochówek zmarłym.",NF
"Jeżeli się uaktywni, to mamy kolejną katastrofę klimatyczną.",FR
Ustawa została zawetowana przez prezydenta Dudę w 2015 r.. Ta sprawa jest przedmiotem sporu w Polsce.,FR
Rząd Platformy Obywatelskiej wyprzedał majątek narodowy za 58 miliardów.,FR
"Ono było pilnowane, aż wyjedzie za granicę.",FNR
Arabia Saudyjska zapłaciła za Rafinerię Gdańską to dwa razy mniej niż za piłkarza Ronaldo?,FR
"Widzi pani poseł, to po co likwidować plany budowy CPK, po co wprowadzać takie kredyty?",NF
"Rozumiem, że te ograniczenie instytucjonalne w tym wypadku to również arytmetyka.",NF
Jaki jest państwa pogląd na utrzymanie programów społecznych?,NF
"Z jednej strony, to jak wiecie, kończąca się już budowa nowoczesnej elektrociepłowni, czyli portu czystej energii, w tej kończącej się kadencji największego projektu także współfinansowanego przez Unię Europejską, ale to także ciągła edukacja, wspieranie właśnie rozwoju alternatywnych źródeł energii po to, żeby mogła zasilać naszą komunikację ...publiczną, ale także obiekty edukacyjne.",FNR
Adna inna formacja nie ma takiego przelicznika.,FR
"Zobaczcie, jaka gigantyczna, ale przede wszystkim, ale także kameralna, bo udało się zachować tę kameralność tego miejsca, nowoczesna szkoła.",NF
"Istotą tego wszystkiego jest to, że wyceny powinny być przeprowadzone w sposób niezależny od spółki.",FNR
"Nagle polskie państwo mówi nastolatkom: „jedzcie, możecie, nie ograniczajcie się”.",FR
"To, co jest ważne z punktu widzenia użytkowników transportu publicznego, to jest to, czy ten transport jest godny zaufania, czyli czy mogą się spodziewać, że jak jest autobus w rozkładzie, czy to ten autobus będzie czy nie będzie.",FNR
"Natomiast prawda jest taka, że przed wojną 90 proc. Żydów nie mówiło po polsku i nie płacili podatków w Polsce.",FR
"Będę czekał na was, w dowolnie wybranym miejscu.",NF
"I powodowało to, że to była uporządkowana praca człowieka, który zna przepisy.",NF
"Proszę sobie wyobrazić, jest pan inwestorem, kupuje pan nieruchomość, ma pan projekt, piękny budynek na ileś tam set mieszkań i czeka pan 5 lat.",NF
"Czy Konfederacja zgodzi się z tym, że ""no trudno, Braun jest, jaki jest, ale będziemy razem z nim szli""?",NF
"Ja zgłosiłem ten pomysł, on został przyjęty przez prezydenta i przez radnych i dziś jesteśmy jedynym miastem z takimi ulgami.",FR
"To dzisiaj też jedna z branży, można powiedzieć przemysłu, dzisiaj kultura, turystyka, przemysł czasu wolnego.",NF
Tylko 73% mężczyzn dożywa wieku emerytalnego.,FR
"Mają z czego schodzić deweloperzy, szczególnie że materiały budowlane, ceny materiałów budowlanych spadają.",FR
"Nas, Sławomira Mencena, i to środowisko, i jego, czyli braunowskie?",NF
"Trzeba to powiedzieć - nie ma bezpłatnej komunikacji, trzeba popatrzeć, kto płaci ostatecznie za koszty związane z komunikacją.",FNR
"Mamy najdrożej zdobyty mandat w parlamencie, bo prawie 100 tys. głosów na każdy nasz mandat przypada.",FR
"Tylko rozumiem, że po prostu chce wyrzucać na bruk ludzi bez procesu eksmisji.",NF
"Ale jak pan uważa, panie ministrze, dlaczego w takim razie, skoro ten system kaucyjny miał być taki prosty, dlaczego go rząd nie wprowadził?",FNR
"Bo to jest tak się mówi, a to są pieniądze, które leżą na ulicy.",NF
"Proszę sprzedać, wszyscy sąsiedzi już sprzedali, jak przyjdzie do wywłaszczeń, dostaniecie dużo mniej pieniędzy.",FNR
"Wszyscy posłowie partii Razem jasno w tej sprawie zabrali głos, nie powinno, nie powinno mieć miejsca takie sytuacje.",FNR
"Budować, jakby nie stały puste, na przykład, właśnie albo nie było ku... Jeżeli mi pozwolicie, więc pierwsza rzecz, jeżeli wprowadzicie wyższy podatek od wynajmu mieszkań, to czy więcej kapitału popłynie na ten rynek, czy mniej?",NF
"Potem trochę to zredukowano, 114 osób.",FNR
Która z koncepcji obrony RP jest bliższa państwa wizji politycznej?,NF
Ile trochę placówek powstało w tej ostatniej kadencji i teraz we wrześniu mają być kolejne trzy gotowe?,FNR
"Jak oceniacie pakt migracyjny, który zakłada przyjęcie przez państwa Unii Europejskiej – w tym Polskę – nieokreślonej dziś jasno liczby migrantów lub obowiązkowej opłaty solidarnościowej.",FR
Zostaje problem okolicznych gmin tak jak wszędzie.,NF
"W 2022 roku wszczęto 83196 procedur w związku z Niebieską Kartą, o tysiąc więcej niż rok wcześniej.",FR
W latach 2018–2023 więcej mieszkań czynszowych powstawało w Szczecinie niż w Warszawie.,FR
"Uważam, że tego rodzaju akcje nam oczywiście nie pomagają.",NF
To Sierociniec i właśnie w nim powstanie dom literatury.,NF
Taką interpelację zgłosiła pani poseł Paulina Matysiak z Lewicy.,FNR
Internetowa dogrywka Sędna Sprawy jeszcze przed nami.,NF
"No przyjeżdżali ludzie, gdzie na przykład mieli swój dom, który był warty 300, 400 tysięcy, a dostawali od rządu 150 000 za dom, bo miała być kolej szybkich szybkich prędkości i oni się na to nie godzili, bo co kupić za 150 000 w tamtych czasach rok 2018 jak była ta idea zaczęła powstawać.",FNR
"Jest wywiad Bogdana Święczkowskiego z 2016 roku, gdzie on mówi, że ta zmiana, według niego, powinna trwać dziesiątki lat i powinna być niezależna od tego, kto rządzi.",FR
"Mamy tą pigułkę czy tam tabletkę „dzień po”, która może być szkodliwa dla organizmu, która nie była badana na 15- i 16-latkach, która, wg producenta, nie powinna być zażywana przez ludzi poniżej 18. roku życia.",FR
"Przedsiębiorcy się zamykają, bo jest ogromna presja płacowa.",FR
"Jeśli nie istnieje synergia elektoratów i celów, to co nas łączy?",NF
Ile osób zostało wywłaszczonych przy tym projekcie ?,NF
Tramwaje się już właściwie nie wykolejają.,FR
"Tak samo, jak na przykład ze sprzedażą papierosów, ograniczenie widoczności, marketingu papierosów też sprawia, że mniej osób po nie sięga.",FNR
"Także jeszcze oczywiście ta wymiana, że tak powiem, przed nami.",NF
"Ja spotkałem się z takimi informacjami, że do Polski kilkanaście milionów ton zboża z Rosji wjechało.",FR
"Wybudowaliśmy, no właśnie trzy szkoły.",FNR
Kończymy radiową część naszej rozmowy.,NF
"Ale jeśli chodzi o te kolejne 300 zł, to pozwólcie, że najpierw sprawdzimy, czy rząd nie daje tego z waszych pieniędzy, albo co gorsza — zapożyczając się waszym kosztem.",NF
"Nie wystarczy dać 500 czy 800 zł, bo to zawsze zabraknie – czy na żłobek, czy na przedszkole, czy na przykład na korepetycje dla dziecka.",NF
Ile jest ministrów i wiceministrów w nowym rządzie?,NF
"Naprawdę widzę, że pan się kieruje pomysłami mojego konkurenta, a ja mam swoje pomysły.",NF
Przecież to właśnie w Warszawie powstał pierwszy darmowy program żłobków – 17 tys. miejsc.,FR
"Natomiast wydaje mi się, że ta argumentacja, jeżeli chodzi o liczbę, to ta argumentacja oczywiście się nie zmienia.",NF
"Część dochodzi, część nie; część jest z wadami, część nie; część jest poniżej umówionego standardu i tak dalej.",FR
I tu znowu podziękowanie dla moich współpracowników i mieszkańcom wielkie dzięki.,NF
"Zwiększył je o kolejne, kolejne miliony.",FR
Dlatego darmowy transport jest absurdalnym populizmem i będziemy to na pewno jako lewica blokowali.,NF
Bitwa pod Grunwaldem jest nieistotnym wydarzeniem historycznym o którym w polskiej szkole nie powinno być mowy.,NF
"Ja pytam poważnie, a jakby pan był, to jakby pan głosował?",NF
"Chciałbym zadać mojemu gościowi pytanie: czy zgadza się ze Sławomirem Mencenem, który mówił, ""znowu wyszliśmy na wariatów"", i mówił, że fakty są takie, że Grzegorz Braun zaszkodził Konfederacji?",NF
"Jeśli mówimy o budownictwie PRL-owskim, to jego kapitałochłonność, na przykład w porównaniu do Hiszpanii, była 6% w stosunku do 3%.",FR
"A myślę, że i oni by tutaj mogli tak prospołecznie do tego podejść.",NF
"Nie wiem, co prawda, jak wyglądało zawieszanie i odwieszanie, no ale jest taka procedura u nas, i już jest pełnoprawnym członkiem Konfederacji, znowu się kochamy.",NF
"Trwają prace nad tym, aby w Unii Europejskiej móc zakazać hodowli żywności na własne potrzeby.",FR
"Dzisiaj taki fajny komentarz czytałem w internecie, że rozdzielenie pana Jońskiego i Szczerby nie najlepiej im służy.",NF
"Do skupywanie całego chleba, ten tak.",NF
Pan dyplomatycznie nie wziął udziału w głosowaniu.,FNR
"Coś, co sprawi nam przyjemność, na przykład ktoś otworzy nowy kanał telewizyjny, ktoś zbuduje jakąś fabrykę, która wyprodukuje jakieś rzeczy, które lubimy, ktoś napisze grę komputerową.",NF
"Trzecia grupa postulatów, mówili o tym także nasi młodzi kandydaci na radnych, ale myślę, że dzisiaj każdy z nas to czuje, jak to jest bardzo, bardzo ważne.",NF
"Szczególnie ważne jest też to, by wszystkie zawody, które dla nas wszystkich pracują, były dobrze opłacane.",NF
"Te dwa wnioski, o których mówiliśmy, wykazywały się, tak jakby, niedostateczną dokumentacją, nie, znaczy bardzo niską dojrzałością projektu, nierealnymi harmonogramami i praktycznie na 100% brakiem możliwości zrealizowania tych otrzymanych środków w zakładanym czasie czy w zakładanym terminie.",FR
"Z drugiej strony trzeba zauważyć, że tylko 6 gmin w całym województwie małopolskim podjęło takie uchwały, więc naprawdę Oświęcim należy do liderów, jeżeli chodzi o kwestie związane z walką ze smogiem.",FR
Bardzo serdecznie dziękuję za to zaproszenie.,NF
"Czy to znaczy, że państwo teraz ma budować samochody elektryczne, bo jest ich za mało?",NF
"U mnie niedaleko na Stawskiej Kępie jest rzeczywiście taki punkt monopolowy, gdzie taka lokalna, powiedzmy w dużym cudzysłowie, elita, która lubi sobie biesiadować tam nocami, jest dużym utrapieniem rzeczywiście dla mieszkańców, jeśli chodzi o bezpieczeństwo, zwłaszcza dla rodzin, ale także komfort życia jest przez to zaburzony.",FNR
"Oświęcim 2030, natomiast ich stanowiska myślę, że będą podstawą do dyskusji pomiędzy kandydatami w debatach, które zapewne będą.",NF
"Jeden z takich... Tutaj machała do mnie przed chwilą Ewelina, Ewelina z Fundacji Omea Life.",NF
Państwo nie potrafi budować mieszkań.,NF
"Murem stoją za nimi aktywiści, powstała też specjalna petycja.",FNR
Premier Tusk rekomenduje powrót 5-procentowego podatku.,FNR
Ponadto sprzedał kapitałowi zagranicznemu znaczne części Lotosu.,FR
Było pilnowane.,FNR
To naprawdę będzie korzystne dla przytłaczającej większości.,NF
"Przy europejskich jest taka ordynacja, która jest najbardziej proporcjonalna i można powiedzieć: dostajesz dokładnie tyle mandatów, ile głosów wywalczyłeś, masz 5 proc., dostajesz 5 proc. mandatów.",FR
Wiadczenia socjalne PYTANIE PRACOWNIKÓW TVP: Na politykę społeczną ugrupowania patrzą na dwa sposoby.,NF
"KRZYSZTOF BOSAK, KONFEDERACJA: Polska musi być silna, Polska musi być uzbrojona, ale ktoś to wszystko musi jeszcze obsługiwać.",NF
"Przecież tutaj powstał także ogród deszczowy, i właśnie chcemy kontynuować ten program tr 10: 10 parków kieszonkowych, 10 ogrodów deszczowych i wreszcie, 10 mikrolasów miejskich.",FNR
"Taki mamy plan i nie będziemy zważali na nic, ...będziemy chcieli go zrealizować.",NF
Poprzednie rządy wyprowadzały dopłaty do kredytów.,FR
